		// migemo-dictの追加辞書(Mecab辞書から変換)
		// 最終更新: 2018/03/19 BowmoreLover
		// 本辞書の用途について:
		// ・migemo-dictにマージすることを想定した追加辞書
		// ・辞書キーを置き換えるのではなく、候補列への置き換え/追加を想定している
		// ・migemo-dictとは異なり、本ファイルではタブで始まる行はコメント扱い
		// 本辞書の内容:
		// ・別ツール用に作成したTES/Fallout/TW3用語Mecab辞書から、次の用語を抽出して変換したもの
		//   名詞、副詞、連体詞
		// ・Mecab辞書はMecabで「読めない」用語だけが対象なので、全ての用語を網羅していない点に注意

りふてんすくりぷとしーんとりで	リフテンスクリプトシーン砦
とりぷるさーくるこうざん	トリプルサークル鉱山
どらごんてーるさんみゃく	ドラゴンテール山脈
どらごんているさんみゃく	ドラゴンテイル山脈
のーすうぃんどさんちょう	ノースウィンド山頂
ばっどうぉーたーこうざん	バッドウォーター鉱山
ぶろーくんたすくこうざん	ブロークンタスク鉱山
ヴぁーでんふぇるかいがん	ヴァーデンフェル海岸
ヴぁいるくらっちこうざん	ヴァイルクラッチ鉱山
あんだーすとーんとりで	アンダーストーン砦
あんどーんてっどとりで	アンドーンテッド砦
うぃんどしゅりーくはま	ウィンドシュリーク浜
うぇいくうぉーかーかい	ウェイクウォーカー海
おんしずぶれすこうざん	オンシズブレス鉱山
かーすわすてんこうざん	カースワステン鉱山
かんばーらんどこうざん	カンバーランド鉱山
きんぐずくれすととりで	キングズクレスト砦
くりぷとうぉっちとりで	クリプトウォッチ砦
ぐりーんうぉーるとりで	グリーンウォール砦
ぐれいどみすとこうざん	グレイドミスト鉱山
ぐれなでぃーんしょとう	グレナディーン諸島
こーるどろっくこうざん	コールドロック鉱山
こるすけっがーこうざん	コルスケッガー鉱山
さくすりーるきっちんけ	サクスリールキッチン家
さんどぶろうんこうざん	サンドブロウン鉱山
しゃったー・しーるどけ	シャッター・シールド家
しゅうかくかんしゃさい	収穫感謝祭
すかいすぱいあーとりで	スカイスパイアー砦
すとーむくろーくとりで	ストームクローク砦
すとーんしぇーぱーさん	ストーンシェーパー山
すとーんひるずこうざん	ストーンヒルズ鉱山
すとらいでんとかいがん	ストライデント海岸
すふぃんくすもすとりで	スフィンクスモス砦
すヴぁーるばるしょとう	スヴァールバル諸島
だーくしぇいどこうざん	ダークシェイド鉱山
だがーふぉーるかいがん	ダガーフォール海岸
とろるへったさんちょう	トロルヘッタ山頂
どらごんくろーこうざん	ドラゴンクロー鉱山
ないふぽいんとこうざん	ナイフポイント鉱山
にるんくらっつこうざん	ニルンクラッツ鉱山
のーすういんどこうざん	ノースウインド鉱山
はちゅうりょうせいるい	爬虫両生類
はんまーふぇるはんとう	ハンマーフェル半島
ふぁいあぶらんどとりで	ファイアブランド砦
ふぃっしゃーまんずとう	フィッシャーマンズ島
ふぇるはめーるこうざん	フェルハメール鉱山
ふぉーくらんどしょとう	フォークランド諸島
ふぉん・あいぐりっどけ	フォン・アイグリッド家
ふぉん・えすてぃけんけ	フォン・エスティケン家
ふぉん・えヴぇれっくけ	フォン・エヴェレック家
ふらーぐすたーととりで	フラーグスタート砦
ふろすとぶれいくとりで	フロストブレイク砦
ぶらいんどくりふとりで	ブラインドクリフ砦
ぶらっくぶーとこうざん	ブラックブート鉱山
ぶらっどめいんこうざん	ブラッドメイン鉱山
もーんほーるどこうざん	モーンホールド鉱山
もろううぃんどしょとう	モロウウィンド諸島
ろすがりあんさんみゃく	ロスガリアン山脈
ヴぇろーてぃさんみゃく	ヴェローティ山脈
あーじぇんとこうざん	アージェント鉱山
あるふたんどひょうが	アルフタンド氷河
あれすうぇるこうざん	アレスウェル鉱山
いんどらにおんとりで	インドラニオン砦
うんどうふぜんしょう	運動不全症
おりはるこんこうざん	オリハルコン鉱山
きたかぜのきとうさい	北風の祈祷祭
くいっくすてっぷさん	クイックステップ山
くろっしんぐこうざん	クロッシング鉱山
ぐらでみすとこうざん	グラデミスト鉱山
ぐりむうぉっちとりで	グリムウォッチ砦
ぐりむじゃーるとりで	グリムジャール砦
ぐれいどみすととりで	グレイドミスト砦
こーるどはーばーばし	コールドハーバー橋
こるすけぐるこうざん	コルスケグル鉱山
さぬあらっちこうざん	サヌアラッチ鉱山
さまーせっとぐんとう	サマーセット群島
さまーせっとしょとう	サマーセット諸島
しゃとぅるさんみゃく	シャトゥル山脈
しょうしゅくまじゅつ	小縮魔術
しヴぁりんぐひょうが	シヴァリング氷河
じぇらーるさんみゃく	ジェラール山脈
じゅうかんせつしょう	重関節症
すとーんひーヴぁーけ	ストーンヒーヴァー家
すとーんふぁんぐとう	ストーンファング島
すふぃんくすもすさん	スフィンクスモス山
そーらなっくこうざん	ソーラナック鉱山
だいあふろすととりで	ダイアフロスト砦
だいいちたねまきさい	第一種蒔き祭
だがーふぉーるとりで	ダガーフォール砦
だんぷほーるこうざん	ダンプホール鉱山
てるヴぁんにかいがん	テルヴァンニ海岸
てるヴぁんにはんとう	テルヴァンニ半島
とそなしゃぷこうざん	トソナシャプ鉱山
どらごんくろーとりで	ドラゴンクロー砦
どれーくろうこうざん	ドレークロウ鉱山
どれいくろうこうざん	ドレイクロウ鉱山
なんぷうのきとうさい	南風の祈祷祭
にちぼつかんしゃさい	日没感謝祭
のーすうぉっちとりで	ノースウォッチ砦
ばーくばいとこうざん	バークバイト鉱山
ばいるがるちこうざん	バイルガルチ鉱山
ひいひいひいじいさん	曾曾曾祖父さん
ひいひいひいばあさん	曾曾曾祖母さん
ふぁっらがとこうざん	ファッラガト鉱山
ふぁるとにあこうざん	ファルトニア鉱山
ふぇあゆーるこうざん	フェアユール鉱山
ふぇるはめーるとりで	フェルハメール砦
ふぉーくおりーこじま	フォークオリー小島
ふねのはかばかいがん	船の墓場海岸
ぶらっく・ぶらいあけ	ブラック・ブライア家
ぶらっくむーあとりで	ブラックムーア砦
ぶるーぶらっどとりで	ブルーブラッド砦
ぶるーろーどこうざん	ブルーロード鉱山
ほわいとふぉーるさん	ホワイトフォール山
ぼーんすとるーんさん	ボーンストルーン山
ぼーんすとれうんさん	ボーンストレウン山
まうんと・くれーるけ	マウント・クレール家
まっどつりーこうざん	マッドツリー鉱山
みすとヴぇいるとりで	ミストヴェイル砦
もるぶんすかーとりで	モルブンスカー砦
らいむうぃんどとりで	ライムウィンド砦
らぐんヴぁるどうんが	ラグンヴァルド運河
りーちうぃんどとりで	リーチウィンド砦
りっぷさんどしょうこ	リップサンド小湖
れっどべりーこうざん	レッドベリー鉱山
ろすとないふこうざん	ロストナイフ鉱山
ろっくわろうこうざん	ロックワロウ鉱山
ヴぁーでんふぇるかい	ヴァーデンフェル海
ヴぁーでんふぇるさん	ヴァーデンフェル山
ヴぁーでんふぇるとう	ヴァーデンフェル島
ヴぁるとへいむとりで	ヴァルトヘイム砦
ヴぁんでんふぇるとう	ヴァンデンフェル島
ヴぇるめんてぃーのけ	ヴェルメンティーノ家
あおいろさんみゃく	青色山脈
あすかでぃあんとう	アスカディアン島
あびしあんかいがん	アビシアン海岸
あまヴぇっととりで	アマヴェット砦
あめーるさんみゃく	アメール山脈
あらしのまじゅつし	嵐の魔術師
あれすうぇるとりで	アレスウェル砦
あれっしあこうざん	アレッシア鉱山
いちばつひゃっかい	一罰百戒
うぃんどへるむばし	ウィンドヘルム橋
うぉーでんこうざん	ウォーデン鉱山
えるどせりっくかい	エルドセリック海
おーらんどしょとう	オーランド諸島
おくせんふるとばし	オクセンフルト橋
おるしにうむとりで	オルシニウム砦
かずぐーるこうざん	カズグール鉱山
かんにんぶくろのお	堪忍袋の緒
きょぜつされしもの	拒絶されし者
くらっくたすくさん	クラックタスク山
くるーえる・しーけ	クルーエル・シー家
くるっくばっくぬま	クルックバック沼
くれないのくんしゅ	紅の君主
くヴぁるへいむとう	クヴァルヘイム島
ぐれいむーあとりで	グレイムーア砦
こいぐりんこうざん	コイグリン鉱山
こおりのまじゅつし	氷の魔術師
さーるざるこうざん	サールザル鉱山
さんるとぅーるがわ	サンルトゥール川
ざんとにうすとりで	ザントニウス砦
ししゃのしゅくさい	死者の祝祭
しじょうきょうそう	市場競争
しょうしゅくまほう	小縮魔法
しるばーぶらっどけ	シルバーブラッド家
しろがねきょうてい	白金協定
じゅんぷうまんぱん	順風満帆
すかいうぉっちとう	スカイウォッチ島
すけりっじぐんとう	スケリッジ群島
すけりっじしょとう	スケリッジ諸島
すけりっじはんとう	スケリッジ半島
すとーむくろーくけ	ストームクローク家
すとらいでんとかい	ストライデント海
すとりーむこうざん	ストリーム鉱山
すのー・しょっどけ	スノー・ショッド家
すのーほーくとりで	スノーホーク砦
ぞるぐんでこうざん	ゾルグンデ鉱山
だいにたねまきさい	第二種蒔き祭
だがーふぉーるかい	ダガーフォール海
だしゅにくこうざん	ダシュニク鉱山
だわーすとーんとう	ダワーストーン島
だんすたっどとりで	ダンスタッド砦
ちゃるまんこうざん	チャルマン鉱山
てるしょっくとりで	テルショック砦
でぃ・さるばれすけ	ディ・サルバレス家
でぃーぷまーしゅけ	ディープマーシュ家
ど・これんてぃんけ	ド・コレンティン家
どーんがーどとりで	ドーンガード砦
どぅえまーこうざん	ドゥエマー鉱山
どらごんてーるさん	ドラゴンテール山
どらごんているさん	ドラゴンテイル山
どれいくろうとりで	ドレイクロウ砦
にゅーぐらどとりで	ニューグラド砦
にるんぴすこうざん	ニルンピス鉱山
ねんおうしきてんび	年央式典日
のーすうぃんどさん	ノースウィンド山
はやぶささんみゃく	ハヤブサ山脈
はんげつのくれすと	半月のクレスト
ばーるーとこうざん	バールート鉱山
ばるけるがーどかい	バルケルガード海
ばるふぃえらとりで	バルフィエラ砦
ぱいんうぉっちさん	パインウォッチ山
ひかりのしゅくさい	光の祝祭
びすざーくこうざん	ビスザーク鉱山
びたーぽいんとはま	ビターポイント浜
ぴとけあんしょとう	ピトケアン諸島
ふぁっらがととりで	ファッラガト砦
ふぇるぐろうとりで	フェルグロウ砦
ふじゃるでぃんぐこ	フジャルディング湖
ふろすともすとりで	フロストモス砦
ぶとうかいふうしゃ	舞踏会風車
ぶりーくろっくさん	ブリークロック山
ぶりーくろっくとう	ブリークロック島
ぶりんどるこうざん	ブリンドル鉱山
ぶるーろーどとりで	ブルーロード砦
ぶろーどへっどかい	ブロードヘッド海
べあくろーこうざん	ベアクロー鉱山
ほのおのまじゅつし	炎の魔術師
まーしゃるしょとう	マーシャル諸島
まはかむさんみゃく	マハカム山脈
みすとうぉっちさん	ミストウォッチ山
めいやーずどるふけ	メイヤーズドルフ家
りーわーどしょとう	リーワード諸島
れいにるさんみゃく	レイニル山脈
れいヴんうぉっちけ	レイヴンウォッチ家
ろーべっくこうざん	ローベック鉱山
ろうすがりあんさん	ロウスガリアン山
ろすがーさんみゃく	ロスガー山脈
ヴぁるーさんみゃく	ヴァルー山脈
ヴぃーげるばっどけ	ヴィーゲルバッド家
ヴぇろしさんみゃく	ヴェロシ山脈
あーすたーなーけ	アースターナー家
あーでくろヴさん	アーデクロヴ山
あくぃらりおすけ	アクィラリオス家
あこす・かさずけ	アコス・カサズ家
あしぇんこうざん	アシェン鉱山
あっしゅこうざん	アッシュ鉱山
ありうすこうざん	アリウス鉱山
あるかいあとりで	アルカイア砦
あるたえるむとう	アルタエルム島
あん・くらいとけ	アン・クライト家
あんぜんだいいち	安全第一
あんどヴぃくとう	アンドヴィク島
あんヴぃるとりで	アンヴィル砦
いくさしょうぞく	戦装束
いるなるたとりで	イルナルタ砦
いんぐだれんとう	イングダレン島
いんぺりあるさん	インペリアル山
いんぺりあるとう	インペリアル島
うぃっちこうざん	ウィッチ鉱山
うぉーでんとりで	ウォーデン砦
うらぎられしもの	裏切られし者
えばーもあとりで	エバーモア砦
えぼんはーととう	エボンハート島
えるせりっくかい	エルセリック海
えるどべるぐとう	エルドベルグ島
おうごんかいがん	黄金海岸
おんなぞくちょう	女族長
かいこすしょとう	カイコス諸島
かすてるでしあけ	カステルデシア家
かすみのどうけつ	かすみの洞穴
かずぐーるとりで	カズグール砦
かぜのまじゅつし	風の魔術師
かばなんととりで	カバナント砦
かむろーんとりで	カムローン砦
からしゅっちょう	空出張
かんばーらんどけ	カンバーランド家
がーざぐこうざん	ガーザグ鉱山
きるくりーすさん	キルクリース山
ぎょうしょうにん	行商人
ぎょうせいのつき	暁星の月
くふらすこうざん	クフラス鉱山
くらてぃこうざん	クラティ鉱山
くりあぱいんいけ	クリアパイン池
くりのきかいがん	クリノキ海岸
くろゆりのやかた	黒百合の館
くわまーこうざん	クワマー鉱山
ぐれい・めーんけ	グレイ・メーン家
けいまんしょとう	ケイマン諸島
けんちくがいしゃ	建設会社
こうきでんりょく	光起電力
こくたんこうざん	黒檀鉱山
こっきょうとりで	国境砦
ごぶりんこうざん	ゴブリン鉱山
さぬらちこうざん	サヌラチ鉱山
さまーせっととう	サマーセット島
さんがーどとりで	サンガード砦
ざふぃるべるわん	ザフィルベル湾
しーどれいくかい	シードレイク海
しあんふぁねりけ	シアンファネリ家
しじょうあくせす	市場アクセス
しじょうけいざい	市場経済
しじょうせいさん	市場生産
しじょうせんゆう	市場占有
しじょうちょうさ	市場調査
しゅうかくのつき	収穫の月
しゅうしゅうにん	収集人	収拾人
しょうわるおんな	性悪女
しょくようあぶら	食用油
じあんかるでぃけ	ジアンカルディ家
すいこうさいばい	水耕栽培
すくぅーまぐらい	スクゥーマ喰らい
すとーむくらぐけ	ストームクラグ家
すとーんこうざん	ストーン鉱山
すとらんどとりで	ストランド砦
すとりっどぼんち	ストリッド盆地
すにどほーるとう	スニドホール島
すぴかろーぐとう	スピカローグ島
すらしあれっとう	スラシア列島
せもんどこうざん	セモンド鉱山
そうそうそうそふ	曾曾曾祖父
そうそうそうそぼ	曾曾曾祖母
そなーくこうざん	ソナーク鉱山
そるすせいむとう	ソルスセイム島
そろもんしょとう	ソロモン諸島
たーくすしょとう	タークス諸島
たきせんたくほう	多肢選択法
たるでいくとりで	タルデイク砦
だいあふろすとけ	ダイアフロスト家
だいどうげいにん	大道芸人
ちゃるまんとりで	チャルマン砦
ちょこれーとかい	チョコレート海
つーすぱいくさん	ツースパイク山
てるヴぁんにかい	テルヴァンニ海
とろるへったさん	トロルヘッタ山
どうけつとろーる	洞穴トロール
どみにおんとりで	ドミニオン砦
どりゅあだくさん	ドリュアダク山
どろっぷこうざん	ドロップ鉱山
なんちゅうのつき	南中の月
にっこうよくべや	日光浴部屋
にゅうしょくしゃ	入植者
のーふぉーくとう	ノーフォーク島
はーすとらどがわ	ハーストラド川
はいたいどとりで	ハイタイド砦
ばーじんしょとう	バージン諸島
ばとる・ぼーんけ	バトル・ボーン家
ばるふぃえらとう	バルフィエラ島
ひいひいじいさん	曾曾祖父さん
ひいひいばあさん	曾曾祖母さん
ひいひいひいじじ	曾曾曾祖父
ひいひいひいばば	曾曾曾祖母
びたーはんどさん	ビターハンド山
ふぁれりあとりで	ファレリア砦
ふぇろーしょとう	フェロー諸島
ふぉりーこうざん	フォリー鉱山
ふるへるむとりで	フルヘルム砦
ぶれしゅーるがわ	ブレシュール川
ぷりぐまんどはし	プリグマンド橋
ぷりぐまんどばし	ニベン橋
へいむりんとりで	ヘイムリン砦
べるふぁいあとう	ベルファイア島
べんきょうぶそく	勉強不足
ほうじょうのつの	豊穣の角
ぼうえきがいしゃ	貿易会社
まらばるいわやま	マラバル岩山
まりあなしょとう	マリアナ諸島
まるかるすとりで	マルカルス砦
みずのまじゅつし	水の魔術師
みはらいそうがく	未払総額
もーくるへいげん	モークル平原
もーすりんぐさん	モースリング山
もーずりんぐさん	モーズリング山
もうるのすとりで	モウルノス砦
もばーるこうざん	モバール鉱山
やおちょうじあい	八百長試合
やんまいえんとう	ヤンマイエン島
らすとぶらっどけ	ラストブラッド家
りーふしゃどうこ	リーフシャドウ湖
りびんぐるーむけ	リビングルーム家
りょくちゅうせき	緑柱石
りるヴぃえーぶけ	リルヴィエーブ家
れいるずこうざん	レイルズ鉱山
れいれすこうざん	レイレス鉱山
れっどせいるかい	レッドセイル海
れっどるーくさん	レッドルーク山
れんしゅうじあい	練習試合
れんりーじゃかい	レンリージャ海
ろーべっくとりで	ローベック砦
ろすがりあんさん	ロスガリアン山
ろふぉーてんわん	ロフォーテン湾
ヴぁる・あとれけ	ヴァル・アトレ家
ヴぁれんへいげん	ヴァレン平原
ヴぃヴぁるでぃけ	ヴィヴァルディ家
ヴぇろーてぃさん	ヴェローティ山
あすとるとりで	アストル砦
あずりあんかい	アズリアン海
あっしゅとりで	アッシュ砦
あともーらかい	アトモーラ海
あびしあんかい	アビシアン海
あみめおしだし	網目押出
あらんどとりで	アランド砦
ありうすとりで	アリウス砦
あるごにあんけ	アルゴニアン家
あるだのびあけ	アルダノビア家
あるてうむとう	アルテウム島
あるとまーかい	アルトマー海
あれっしあばし	アレッシア橋
あんそーるさん	アンソール山
あんヴぃるとう	アンヴィル島
いーぐるずはま	イーグルズ浜
いきのびしもの	生き延びし者
いくさげしょう	戦化粧
いじわるおんな	意地悪女
いやがおうでも	否が応でも
いりあっくわん	イリアック湾
いんどりーるけ	インドリール家
うぃんだまーこ	ウィンダマー湖
うぇりんがむけ	ウェリンガム家
うっさーとりで	ウッサー砦
えいようぶそく	栄養不足
えとにるとりで	エトニル砦
えらばれしもの	選ばれし者
えりのーんとう	エリノーン島
えんせいじあい	遠征試合
えヴぇれっくけ	エヴェレック家
おーりどんかい	オーリドン海
おーりどんとう	オーリドン島
おうかっしょく	黄褐色
おうちゃくもの	横着者
おおむぎばたけ	大麦畑
おせっかいもの	おせっかい者	お節介者	御節介者
おちょうしもの	お調子者
おぶらいあんけ	オブライアン家
おるぐぬむりん	オルグヌム鱗
おんがいしょう	音害症
おんこぶらがわ	オンコブラ川
かいしょくどう	海食洞
かじきかいがん	カジキ海岸
かすたぶとりで	カスタブ砦
かんきたいせい	寒気耐性
かんりにんべや	管理人部屋
がりーこうざん	ガリー鉱山
がんじょうもの	頑丈者
きゃべつばたけ	キャベツ畑
きゅうだいしん	九大神
きゅろっとばし	キュロット橋
きょうどうこう	共同溝
きょくれいとう	極冷凍
きりのどうけつ	霧の洞穴
きんりょくせき	金緑石
くっくしょとう	クック諸島
くりすますとう	クリスマス島
くれいとりーけ	クレイトリー家
くれないのとう	紅の塔
けいどうみゃく	頸動脈
けっぺきしょう	潔癖性
けんしゃくにん	献酌人
けんとうじあい	拳闘試合
げっちょうせき	月長石
こうかいじあい	公開試合
こうこんのつき	黄昏の月
こうしょうにん	交渉人
こうそうのつき	降霜の月
こうれいじゅつ	降霊術
ここすしょとう	ココス諸島
こざんせっとけ	コザンセット家
こっかっしょく	黒渇色
さいばいのつき	栽培の月
さんきせんえき	三旗戦役
さんぐりーるけ	サングリール家
しかばねぐらい	屍喰らい
しじょうかかく	市場価格	市場化
しじょうかくり	市場隔離
しじょうきんり	市場金利
しじょうげんり	市場原理
しじょうしゅぎ	市場主義
しどなこうざん	シドナ鉱山
しどはこうざん	シドハ鉱山
しゃっくるばし	シャックル橋
しゃとぅるさん	シャトゥル山
しゅうきんにん	集金人
しゅうのうべや	収納部屋
しょうしんもの	小心者
しょうじきもの	正直者
しょうどうせき	晶洞石
しょうにんさい	商人祭
しようにんべや	使用人部屋
しろがねのとう	白金の塔
しろでぃーるけ	シロディール家
しろわしとりで	白鷲砦
しんおうのつき	真央の月
しんぱいしょう	心配性
じぇらーるさん	ジェラール山
じぇんせんさん	ジェンセン山
じゃくはいもの	若輩者
じゅじょうせい	樹上性
じょうのうひん	上納品
じょろうおんな	女郎女
すかーぷとりで	スカープ砦
すくぅーまべや	スクゥーマ部屋
すくりぼにあけ	スクリボニア家
すけりっぐとう	スケリッグ島
すけりっじかい	スケリッジ海
すてぃるくとう	スティルク島
すとらいぷさん	ストライプ山
すとりっどがわ	ストリッド川	ストリッド河
すとれんがーけ	ストレンガー家
すのうぼーんけ	スノウボーン家
すらすぐんとう	スラス群島
せいそうのつき	星霜の月
せいたんきょく	聖譚曲
せいてんきゅう	星天球
せきかっしょく	赤渇色
せんけんのめい	先見の明
せんしょうしゃ	先唱者
せんじゅつかく	戦術核
せんぞだいだい	先祖代々	先祖代代
せんちねるかい	センチネル海
せんちねるはま	センチネル浜
ぜんりりとりで	ゼンリリ砦
そうじゅうかん	操縦桿
そんぞうしょう	樽造匠
たーんきすとけ	ターンキスト家
たまごこうざん	卵鉱山
たりゅうじあい	他流試合
たるらいんさん	タルライン山
たんかっしょく	淡褐色
ちゃかっしょく	茶渇色
ちゅうおうべや	中央部屋
ちゅうかいにん	仲介人
ちょうたいしゃ	超体斜
ついじゅうしゃ	追従者
つかがしらいし	柄頭石
てるしょっくけ	テルショック家
てるヴぁんにけ	テルヴァンニ家
てんぺすととう	テンペスト島
で・よんきあけ	デ・ヨンキア家
でぃしーとがわ	ディシート川
とらすたまらけ	トラスタマラ家
とろーるどわん	トロールド湾
ど・らくろわけ	ド・ラクロワ家
どみにおんかい	ドミニオン海
どれさんとりで	ドレサン砦
ないしゅっけつ	内出血
なしとげしもの	成し遂げし者
なんじゃくもの	軟弱者
なんとせいけん	南斗聖拳
にべねいぼんち	ニベネイ盆地
にまるてんさん	ニマルテン山
ねんおうのつき	年央の月
はいかっしょく	灰褐色	灰渇色
はいしゅつこう	排出口
はくじょうもの	薄情者
はくめいのつき	薄明の月
はんどこうざん	ハンド鉱山
ばえるぼーんけ	バエルボーン家
ばじょうじあい	馬上試合
ばるこにーべや	バルコニー部屋
びょるさえがわ	ビョルサエ川
ふぁーんどさん	ファーンド山
ふぁるんとりで	ファルン砦
ふぉあべあーけ	フォアベアー家
ふぉんとぼんけ	フォントボン家
ふかいのぴっく	不壊のピック
ふこころえもの	不心得者
ふなしょくにん	船職人
ふらすこうざん	フラス鉱山
ふらはーてぃけ	フラハーティ家
ふろっせるさん	フロッセル山
ふんしゅつこう	噴出口
ぶーとこうざん	ブート鉱山
ぶさいそうもの	不愛想者
ぶらにいむとう	ブラニイム島
ぶらんけっとけ	ブランケット家
ぷれいてぃんけ	プレイティン家
へるげんとりで	ヘルゲン砦
へるふりっどけ	ヘルフリッド家
べんきょうべや	勉強部屋
ぺりんげーるけ	ペリンゲール家
ぺるだしょうこ	ペルダ小湖
ほくとしんけん	北斗神拳
ほわいたーがわ	ホワイター川
ほんだわらかい	ホンダワラ海
まじゅつしかい	魔術師会
まんがくばらい	満額払	満額払い
むあんだじあい	無安打試合
めんざいじあい	免罪試合
もてぃえーるけ	モティエール家
やみのいっとう	闇の一党
よみがえりのひ	黄泉返りの日
よるぐりむがわ	ヨルグリム川
らいむぎばたけ	ライ麦畑
らいらっくわん	ライラック湾
らるしうすがわ	ラルシウス川
りふてんとりで	リフテン砦
りゅうこんそう	竜根草
りゅうさんだん	榴散弾
れいふうがぶち	冷風ヶ淵
れいれすとりで	レイレス砦
れっどさんさん	レッドサン山
ろーんふぁるけ	ローンファル家
ろうぼくのした	老木の下
ろっくこうざん	ロック鉱山
ヴぁらぼるだけ	ヴァラボルダ家
ヴぃらくとりで	ヴィラク砦
ヴぇらんとぬま	ヴェラント沼
ヴぇりえれすけ	ヴェリエレス家
ヴぇるもんとけ	ヴェルモント家
ヴぉるじゃーけ	ヴォルジャー家
あいべあとう	アイベア島
あしでまとい	足手まとい
あだなすもの	仇なす者
あだりあわん	アダリア湾
あとにむーけ	アトニムー家
あとひまーけ	アトヒマー家
あばなしーけ	アバナシー家
あめーるさん	アメール山
あもるとりで	アモル砦
あゆみしもの	歩みし者
あるじなきち	主無き地
あるふぁせん	アルファ線
あれてぃのけ	アレティノ家
あんくらすけ	アンクラス家
あんないにん	案内人
いくさおとめ	戦乙女
いたずらもの	いたずら者	悪戯者
いちもんなし	一文なし	一文無し
いのーるとけ	イノールト家
いやしむべき	卑しむべき
いらずらぐせ	いたずら癖
いりなるたこ	イリナルタ湖
いろこいざた	色恋沙汰
いんしゅうし	隠修士
いんだれんけ	インダレン家
いんどりるけ	インドリル家
うけとりにん	受取人
うすらわらい	薄ら笑い
うっかりもの	うっかり者
うらぎりもの	裏切者
うりあらとう	ウリアラ島
えいへいべや	衛兵部屋
えっざくさん	エッザク山
えどらるどけ	エドラルド家
えむかいとう	エムカイ島
えりのーんけ	エリノーン家
えんこうせき	塩鉱石
えんすいずけ	塩水漬
おうせつべや	応接部屋
おうどういろ	黄銅色
おおいちばん	大一番
おおおくさま	大奥様
おおざけのみ	大酒飲み
おおばかもの	大馬鹿者
おおよろこび	大喜び
おじょうさん	御嬢さん
おねしょぐせ	おねしょ癖
おやかたさま	御館様	お館様	お館さま	御屋形様	お屋形様	お屋形さま
おんぼろせん	おんぼろ船	オンボロ船
おんぼろぶね	おんぼろ舟	オンボロ舟
かーぼんさん	カーボン山
かいぞえにん	介添人	介添え人
かいほうせき	海泡石
かえんきゅう	火炎球
かしみーるけ	カシミール家
かたながしら	刀頭
かなきりどり	金切鳥	金切り鳥
からやくそく	空約束
かるこりすけ	カルコリス家
かんきんべや	監禁部屋
かんむりいし	冠石
がーじぇすけ	ガージェス家
がーどなーけ	ガードナー家
がくいんじま	学院島
がらくたさん	ガラクタ山
きこえしもの	聞こえし者
きゅうじにん	給仕人
きゅうせいき	吸精鬼
きゅうぞうき	吸臓鬼
きょうけつき	狂血鬼
きらわれもの	嫌われ者
きんべんもの	勤勉者
ぎゃらりーけ	ギャラリー家
くおーつさん	クオーツ山
くちばのもり	朽葉の森
くりのきかい	クリノキ海
くれーんとう	クレーン島
くろっくとう	クロック島
ぐいまーどけ	グイマード家
ぐっどまんけ	グッドマン家
ぐんようけん	軍用犬
けいうのつき	恵雨の月
けしりーとう	ケシリー島
けっせいせき	血星石
